"TTWA","Total pop (18 - 64, 2011)","RCI (2001)","RCI (2011)","Change in RCI","RAE (2001)","RAE (2011)","Change in RAE","Geo. (2001)","Geo. (2011)","Change in Geo.","Poverty indicator"
"Doncaster",277376,0.106,0.104,-0.002,0.094,0.054,-0.04,0.119,0.137,0.018,"jsa"
"Crewe",273192,0.157,0.189,0.032,0.008,0.006,-0.003,0.18,0.209,0.029,"jsa"
"Mansfield",271491,0.123,0.082,-0.04,0.048,0.037,-0.011,0.128,0.131,0.003,"jsa"
"Tunbridge Wells",270006,0.078,0.097,0.018,0.017,-0.033,-0.05,0.111,0.158,0.047,"jsa"
"Blackpool",265709,0.252,0.307,0.055,0.183,0.19,0.007,0.254,0.242,-0.012,"jsa"
"Durham and Bishop Auckland",234479,-0.049,-0.035,0.014,-0.096,-0.129,-0.033,0.094,0.144,0.05,"jsa"
"Gloucester",230677,0.249,0.24,-0.009,0.125,0.067,-0.058,0.247,0.272,0.025,"jsa"
"Barnsley",229505,0.026,0.044,0.018,0.011,0.015,0.004,0.13,0.13,0,"jsa"
"Trowbridge",225261,0.06,0.124,0.065,0.116,0.06,-0.056,0.167,0.174,0.007,"jsa"
"Leamington Spa",222925,0.148,0.2,0.053,0.086,-0.002,-0.087,0.16,0.208,0.048,"jsa"
"Eastbourne",221258,0.203,0.213,0.01,0.152,0.059,-0.092,0.219,0.178,-0.041,"jsa"
"Basingstoke",219251,0.06,0.215,0.155,0.054,0.062,0.008,0.136,0.13,-0.006,"jsa"
"Kettering and Wellingborough",218147.92,0.18,0.178,-0.002,0.097,0.064,-0.033,0.137,0.124,-0.013,"jsa"
"Chichester and Bognor Regis",216092,0.088,0.147,0.06,0.034,0.073,0.039,0.111,0.173,0.061,"jsa"
"Merthyr Tydfil",210158.6762,-0.034,0.012,0.046,-0.027,-0.048,-0.021,NA,NA,NA,"jsa"
"Bedford",204833,0.302,0.285,-0.017,0.175,0.096,-0.079,0.199,0.181,-0.018,"jsa"
"Chesterfield",204462,0.131,0.111,-0.021,0.039,0.018,-0.021,0.158,0.12,-0.038,"jsa"
"Telford",196228,0.12,0.187,0.067,-0.047,-0.039,0.008,0.138,0.172,0.034,"jsa"
"Colchester",195871,0.145,0.213,0.068,0.026,-0.019,-0.045,0.143,0.173,0.03,"jsa"
"Halifax",187314,0.164,0.163,-0.001,0.057,0.067,0.011,0.196,0.175,-0.02,"jsa"
